Date,Close
1/02/2015,10.34
1/05/2015,10.3
1/06/2015,10.28
1/07/2015,10.48
1/08/2015,10.54
1/09/2015,10.3
1/12/2015,10.48
1/13/2015,10.64
1/14/2015,10.66
1/15/2015,10.72
1/16/2015,10.66
1/19/2015,10.68
1/20/2015,10.38
1/21/2015,10.5
1/22/2015,10.46
1/23/2015,10.42
1/26/2015,10.46
1/27/2015,10.6
1/28/2015,10.66
1/29/2015,10.84
1/30/2015,10.88
2/02/2015,10.86
2/03/2015,10.76
2/04/2015,10.94
2/05/2015,11
2/06/2015,10.94
2/09/2015,10.84
2/10/2015,10.94
2/11/2015,11.04
2/12/2015,10.98
2/13/2015,10.9
2/17/2015,11.04
2/18/2015,10.98
2/19/2015,11.02
2/20/2015,11.14
2/23/2015,11.12
2/24/2015,11.18
2/25/2015,11.34
2/26/2015,11.1
2/27/2015,11.16
3/02/2015,11.26
3/03/2015,11.14
3/04/2015,11.08
3/05/2015,11.24
3/06/2015,11.16
3/09/2015,11.22
3/10/2015,11.06
3/11/2015,11.04
3/12/2015,11.04
3/13/2015,11
3/16/2015,11.12
3/17/2015,11.2
3/18/2015,11.2
3/19/2015,11.14
3/20/2015,11.24
3/23/2015,11.26
3/24/2015,11.24
3/25/2015,11.22
3/26/2015,11.2
3/27/2015,11.08
3/30/2015,11.24
3/31/2015,11.26
4/01/2015,11.3
4/02/2015,11.28
4/06/2015,11.18
4/07/2015,11.22
4/08/2015,11.22
4/09/2015,11.28
4/10/2015,11.28
4/13/2015,11.3
4/14/2015,10.96
4/15/2015,11
4/16/2015,10.98
4/17/2015,10.84
4/20/2015,10.82
4/21/2015,11.04
4/22/2015,11.14
4/23/2015,11.18
4/24/2015,11.24
4/27/2015,11.08
4/28/2015,11.06
4/29/2015,11.08
4/30/2015,11.18
5/01/2015,11.1
5/04/2015,10.98
5/05/2015,10.96
5/06/2015,10.64
5/07/2015,10.82
5/08/2015,10.68
5/11/2015,10.62
5/12/2015,10.72
5/13/2015,11
5/14/2015,11.06
