Date,Close
1/02/2015,2.45
1/05/2015,2.35
1/06/2015,2.4
1/07/2015,2.44
1/08/2015,2.4
1/09/2015,2.43
1/12/2015,2.2
1/13/2015,2.25
1/14/2015,2.15
1/15/2015,2.15
1/16/2015,2.15
1/20/2015,2.2
1/21/2015,2.14
1/22/2015,2.15
1/23/2015,2.19
1/26/2015,2.1
1/27/2015,2.11
1/28/2015,2.2
1/29/2015,2.15
1/30/2015,2.11
2/02/2015,2.21
2/03/2015,2.2
2/04/2015,2.2
2/05/2015,2.3
2/06/2015,2.22
2/09/2015,2.15
2/10/2015,2.15
2/11/2015,2.03
2/12/2015,2.06
2/13/2015,2.09
2/17/2015,2.05
2/18/2015,2.09
2/19/2015,2.11
2/20/2015,2.14
2/23/2015,2.13
2/24/2015,2.9
2/25/2015,2.73
2/26/2015,2.7
2/27/2015,2.75
3/02/2015,2.81
3/03/2015,2.75
3/04/2015,2.84
3/05/2015,2.67
3/06/2015,2.69
3/09/2015,2.73
3/10/2015,2.7
3/11/2015,2.75
3/12/2015,2.75
3/13/2015,2.65
3/16/2015,2.65
3/17/2015,2.6
3/18/2015,2.67
3/19/2015,2.6
3/20/2015,2.64
3/23/2015,2.7
3/24/2015,2.66
3/25/2015,2.5
3/26/2015,2.5
3/27/2015,2.4
3/30/2015,2.35
3/31/2015,2.5
4/01/2015,2.47
4/02/2015,2.65
4/06/2015,2.75
4/07/2015,2.75
4/08/2015,2.67
4/09/2015,2.65
4/10/2015,2.72
4/13/2015,2.73
4/14/2015,2.76
4/15/2015,2.78
4/16/2015,2.7
4/17/2015,2.7
4/20/2015,2.7
4/21/2015,2.7
4/22/2015,2.71
4/23/2015,2.75
4/24/2015,2.75
4/27/2015,2.75
4/28/2015,2.9
4/29/2015,2.82
4/30/2015,3.12
5/01/2015,2.94
5/04/2015,3
5/05/2015,3.05
5/06/2015,3.22
5/07/2015,3.15
5/08/2015,3.33
5/11/2015,3.54
5/12/2015,3.79
5/13/2015,3.62
5/14/2015,3.48
5/15/2015,3.5
5/18/2015,3.6
5/19/2015,3.45
5/20/2015,3.21
5/21/2015,3.17
5/22/2015,3.03
5/26/2015,3.23
5/27/2015,3.13
5/28/2015,3.09
5/29/2015,3.27
6/01/2015,3.03
6/02/2015,3.07
6/03/2015,3
6/04/2015,2.76
6/05/2015,2.85
6/08/2015,2.63
6/09/2015,2.75
6/10/2015,2.97
6/11/2015,2.95
6/12/2015,2.8
6/15/2015,2.84
6/16/2015,2.8
6/17/2015,2.85
6/18/2015,2.8
6/19/2015,2.76
6/22/2015,2.8
6/23/2015,2.78
6/24/2015,2.71
6/25/2015,2.78
6/26/2015,2.71
6/29/2015,2.59
6/30/2015,2.39
7/01/2015,2.53
7/02/2015,2.44
7/06/2015,2.34
7/07/2015,2.23
7/08/2015,2.05
7/09/2015,2.19
7/10/2015,2.4
7/13/2015,2.38
7/14/2015,2.21
7/15/2015,2.34
7/16/2015,2.33
7/17/2015,2.29
7/20/2015,2.3
7/21/2015,2.25
7/22/2015,2.24
7/23/2015,2.1
7/24/2015,2.05
7/27/2015,2.2
7/28/2015,2.25
7/29/2015,2.15
7/30/2015,2.01
7/31/2015,2.13
8/03/2015,2.15
8/04/2015,2.17
8/05/2015,2.11
8/06/2015,2.11
8/07/2015,2.16
8/10/2015,2.05
8/11/2015,1.98
8/12/2015,1.94
8/13/2015,2.05
8/14/2015,2.08
8/17/2015,1.96
8/18/2015,1.92
8/19/2015,1.8
8/20/2015,1.8
8/21/2015,1.55
8/24/2015,1.54
8/25/2015,1.57
8/26/2015,1.59
8/27/2015,1.71
8/28/2015,1.69
8/31/2015,1.69
9/01/2015,1.52
9/02/2015,1.58
9/03/2015,1.5
9/04/2015,1.46
9/08/2015,1.57
9/09/2015,1.45
9/10/2015,1.47
9/11/2015,1.35
9/14/2015,1.31
9/15/2015,1.37
9/16/2015,1.39
9/17/2015,1.32
9/18/2015,1.34
9/21/2015,1.3
9/22/2015,1.25
9/23/2015,1.25
9/24/2015,1.25
9/25/2015,1.15
9/28/2015,1.1
9/29/2015,1.04
9/30/2015,1.15
10/01/2015,1.14
10/02/2015,1.2
10/05/2015,1.1
10/06/2015,1.08
10/07/2015,1.04
10/08/2015,1.08
10/09/2015,1.08
10/12/2015,1.14
10/13/2015,1.12
10/14/2015,1.1
10/15/2015,1.1
10/16/2015,1.11
10/19/2015,1.11
10/20/2015,1.08
10/21/2015,1.03
10/22/2015,1
10/23/2015,1.03
10/26/2015,1.09
10/27/2015,1.16
10/28/2015,1.23
10/29/2015,1.34
10/30/2015,1.45
11/02/2015,1.5
11/03/2015,1.5
11/04/2015,1.31
11/05/2015,1.21
11/06/2015,1.34
11/09/2015,1.3
11/10/2015,1.28
11/11/2015,1.22
11/12/2015,1.22
11/13/2015,1.21
11/16/2015,1.32
11/17/2015,1.25
11/18/2015,1.32
11/19/2015,1.24
11/20/2015,1.26
11/23/2015,1.15
11/24/2015,1.14
11/25/2015,1.08
11/27/2015,1.12
11/30/2015,1.1
12/01/2015,1.1
12/02/2015,1.06
12/03/2015,1.06
12/04/2015,1.08
12/07/2015,1
12/08/2015,0.95
12/09/2015,1.02
12/10/2015,1.11
12/11/2015,1.02
12/14/2015,0.97
12/15/2015,0.95
12/16/2015,1.03
12/17/2015,1.05
12/18/2015,1.25
12/21/2015,1.15
12/22/2015,1.14
12/23/2015,1.12
12/24/2015,1.2
12/28/2015,1.25
12/29/2015,1.31
12/30/2015,1.25
12/31/2015,1.29
1/04/2016,1.21
1/05/2016,1.25
1/06/2016,1.18
1/07/2016,1.19
1/08/2016,1.1
1/11/2016,1.02
1/12/2016,1.03
1/13/2016,1.07
1/14/2016,1.15
1/15/2016,1.11
1/19/2016,1.15
1/20/2016,1.2
1/21/2016,1.24
1/22/2016,1.35
1/25/2016,1.41
1/26/2016,1.57
1/27/2016,1.54
1/28/2016,1.47
1/29/2016,1.51
2/01/2016,1.62
2/02/2016,1.53
2/03/2016,1.62
2/04/2016,1.6
2/05/2016,1.57
2/08/2016,1.51
2/09/2016,1.44
2/10/2016,1.39
2/11/2016,1.37
2/12/2016,1.43
2/16/2016,1.37
2/17/2016,1.42
2/18/2016,1.46
2/19/2016,1.5
2/22/2016,1.5
2/23/2016,1.47
2/24/2016,1.44
2/25/2016,1.37
2/26/2016,1.38
2/29/2016,1.44
3/01/2016,1.48
3/02/2016,1.5
3/03/2016,1.48
3/04/2016,1.57
3/07/2016,1.66
3/08/2016,1.65
3/09/2016,1.7
3/10/2016,1.72
3/11/2016,1.78
3/14/2016,1.95
3/15/2016,2.08
3/16/2016,1.95
3/17/2016,1.97
3/18/2016,1.89
3/21/2016,1.89
3/22/2016,1.85
3/23/2016,1.55
3/24/2016,1.76
3/28/2016,1.83
3/29/2016,1.8
3/30/2016,1.77
3/31/2016,1.94
4/01/2016,2.03
4/04/2016,2.32
4/05/2016,2.24
4/06/2016,2.26
4/07/2016,2.65
4/08/2016,2.95
4/11/2016,2.9
4/12/2016,2.8
4/13/2016,2.89
4/14/2016,3.1
4/15/2016,3.16
4/18/2016,3.5
4/19/2016,3.78
4/20/2016,3.59
4/21/2016,3.25
4/22/2016,3.3
4/25/2016,3.09
4/26/2016,2.91
4/27/2016,3.08
4/28/2016,3.04
4/29/2016,2.84
5/02/2016,3.09
5/03/2016,2.84
5/04/2016,2.75
5/05/2016,2.71
5/06/2016,2.72
5/09/2016,2.73
5/10/2016,2.72
5/11/2016,2.88
5/12/2016,2.78
5/13/2016,2.8
5/16/2016,2.77
5/17/2016,2.78
5/18/2016,2.93
5/19/2016,3.1
5/20/2016,3.32
5/23/2016,3.4
5/24/2016,3
5/25/2016,3.25
5/26/2016,3.34
5/27/2016,3.2
5/31/2016,3.26
6/01/2016,3.19
6/02/2016,3.09
6/03/2016,3.03
6/06/2016,3.1
6/07/2016,3.16
6/08/2016,3.33
6/09/2016,3.24
6/10/2016,3.15
6/13/2016,3.1
6/14/2016,3.01
6/15/2016,2.99
6/16/2016,3.05
6/17/2016,3.12
6/20/2016,3.55
6/21/2016,3.85
6/22/2016,3.69
6/23/2016,3.71
6/24/2016,3.48
6/27/2016,3.47
6/28/2016,3.5
6/29/2016,3.77
6/30/2016,4.22
7/01/2016,4.22
7/05/2016,4.1
7/06/2016,3.84
7/07/2016,3.76
7/08/2016,3.82
7/11/2016,3.87
7/12/2016,3.9
7/13/2016,3.87
7/14/2016,3.9
7/15/2016,3.72
7/18/2016,3.64
7/19/2016,3.53
7/20/2016,3.45
7/21/2016,3.46
7/22/2016,3.6
7/25/2016,3.53
7/26/2016,3.48
7/27/2016,3.43
7/28/2016,3.52
7/29/2016,3.69
8/01/2016,3.6
8/02/2016,3.5
8/03/2016,3.64
8/04/2016,3.61
8/05/2016,3.65
8/08/2016,3.73
8/09/2016,3.7
8/10/2016,3.65
8/11/2016,3.71
8/12/2016,3.55
8/15/2016,3.58
8/16/2016,3.54
8/17/2016,3.55
8/18/2016,3.56
8/19/2016,3.39
8/22/2016,3.18
8/23/2016,3.38
8/24/2016,3.31
8/25/2016,3.58
8/26/2016,3.55
8/29/2016,3.47
8/30/2016,3.35
8/31/2016,3.38
9/01/2016,3.4
9/02/2016,3.41
9/06/2016,3.55
9/07/2016,3.52
9/08/2016,3.51
9/09/2016,3.48
9/12/2016,3.67
9/13/2016,3.65
9/14/2016,3.45
9/15/2016,3.54
9/16/2016,3.84
9/19/2016,3.55
9/20/2016,3.51
9/21/2016,3.47
9/22/2016,3.48
9/23/2016,3.42
9/26/2016,3.42
9/27/2016,3.4
9/28/2016,3.35
9/29/2016,3.45
9/30/2016,3.44
10/03/2016,3.6
10/04/2016,3.53
10/05/2016,3.46
10/06/2016,3.36
10/07/2016,3.31
10/10/2016,3.31
10/11/2016,3.25
10/12/2016,3.03
10/13/2016,2.95
10/14/2016,3.05
10/17/2016,3.16
10/18/2016,3.15
10/19/2016,3.15
10/20/2016,3.22
10/21/2016,3.05
10/24/2016,2.98
10/25/2016,3
10/26/2016,2.92
10/27/2016,2.73
10/28/2016,2.7
10/31/2016,2.84
11/01/2016,2.74
11/02/2016,2.61
11/03/2016,2.61
11/04/2016,2.55
11/07/2016,2.3
11/08/2016,2.1
11/09/2016,2.18
11/10/2016,2.5
11/11/2016,2.55
11/14/2016,2.38
11/15/2016,2.39
11/16/2016,2.27
11/17/2016,2.3
11/18/2016,2.36
11/21/2016,2.6
11/22/2016,3.02
11/23/2016,2.64
11/25/2016,3.06
11/28/2016,2.95
11/29/2016,2.88
11/30/2016,3
12/01/2016,3.02
12/02/2016,2.96
12/05/2016,3.04
12/06/2016,3
12/07/2016,2.85
12/08/2016,2.83
12/09/2016,2.8
12/12/2016,2.84
12/13/2016,2.9
12/14/2016,2.91
12/15/2016,2.87
12/16/2016,2.78
12/19/2016,2.96
12/20/2016,2.91
12/21/2016,2.97
12/22/2016,2.95
12/23/2016,3.1
12/27/2016,3.12
12/28/2016,3.05
12/29/2016,3
12/30/2016,2.97
1/03/2017,2.97
1/04/2017,2.93
1/05/2017,3
1/06/2017,2.97
1/09/2017,3.26
1/10/2017,3.28
1/11/2017,3.21
1/12/2017,3.2
1/13/2017,3.34
1/17/2017,3.64
1/18/2017,3.5
1/19/2017,3.93
1/20/2017,3.85
1/23/2017,3.9
1/24/2017,3.81
1/25/2017,3.8
1/26/2017,3.95
1/27/2017,3.8
1/30/2017,3.57
1/31/2017,3.66
2/01/2017,3.62
2/02/2017,3.64
2/03/2017,3.89
2/06/2017,3.87
2/07/2017,3.81
2/08/2017,3.8
2/09/2017,3.75
2/10/2017,3.98
2/13/2017,4.25
2/14/2017,4.57
2/15/2017,4.45
2/16/2017,4.71
2/17/2017,4.65
2/21/2017,4.51
2/22/2017,4.5
2/23/2017,4.54
2/24/2017,4.2
2/27/2017,4.05
2/28/2017,3.9
3/01/2017,3.95
3/02/2017,3.9
3/03/2017,3.8
3/06/2017,3.75
3/07/2017,3.6
3/08/2017,3.53
3/09/2017,3.45
3/10/2017,3.45
3/13/2017,3.4
3/14/2017,3.35
3/15/2017,3.45
3/16/2017,3.4
3/17/2017,3.35
3/20/2017,3.22
3/21/2017,3.19
3/22/2017,3.05
3/23/2017,3.04
3/24/2017,3.09
3/27/2017,3.3
3/28/2017,3.49
3/29/2017,3.7
3/30/2017,3.76
3/31/2017,3.74
4/03/2017,3.45
4/04/2017,3.53
4/05/2017,3.4
4/06/2017,3.48
4/07/2017,3.4
4/10/2017,3.45
4/11/2017,3.46
4/12/2017,3.58
4/13/2017,3.48
4/17/2017,3.47
4/18/2017,3.54
4/19/2017,3.4
4/20/2017,3.49
4/21/2017,3.38
4/24/2017,3.42
4/25/2017,3.34
4/26/2017,3.36
4/27/2017,3.46
4/28/2017,3.55
5/01/2017,3.64
5/02/2017,3.62
5/03/2017,3.62
5/04/2017,3.69
5/05/2017,3.7
5/08/2017,3.8
5/09/2017,3.75
5/10/2017,3.64
5/11/2017,3.64
5/12/2017,3.65
5/15/2017,3.65
5/16/2017,3.57
5/17/2017,3.46
5/18/2017,3.51
5/19/2017,3.66
5/22/2017,3.58
5/23/2017,3.6
5/24/2017,3.6
5/25/2017,3.61
5/26/2017,3.54
5/30/2017,3.5
5/31/2017,3.45
6/01/2017,3.41
6/02/2017,3.4
6/05/2017,3.51
6/06/2017,3.54
6/07/2017,3.64
6/08/2017,3.5
6/09/2017,3.58
6/12/2017,3.6
6/13/2017,3.6
6/14/2017,3.73
6/15/2017,3.66
6/16/2017,3.6
6/19/2017,3.6
6/20/2017,3.51
